arquivo,classe,previsto
data/raw/proprias/limpo/limpo2.jpg,limpo,limpo
data/raw/proprias/limpo/limpo14.jpg,limpo,limpo
data/raw/proprias/limpo/limpo20.jpg,limpo,limpo
data/raw/proprias/sujo/sujo19.jpg,sujo,sujo
data/raw/proprias/sujo/sujo12.jpg,sujo,limpo
data/raw/proprias/sujo/sujo18.jpg,sujo,sujo
data/raw/proprias/sujo/sujo2.jpg,sujo,limpo
data/raw/proprias/sujo/sujo9.jpg,sujo,limpo
data/raw/proprias/limpo/whatsapp-2026-09-25-14h49m38.jpeg,limpo,limpo
data/raw/proprias/limpo/whatsapp-2026-09-25-14h50m09.jpeg,limpo,limpo
data/raw/proprias/sujo/whatsapp-2026-09-25-14h53m51.jpeg,sujo,sujo
data/raw/proprias/sujo/whatsapp-2026-09-25-14h53m58.jpeg,sujo,sujo
data/raw/proprias/sujo/whatsapp-2026-09-25-15h06m46.jpeg,sujo,sujo
data/raw/proprias/sujo/whatsapp-2026-09-25-15h06m53.jpeg,sujo,sujo
data/raw/proprias/sujo/whatsapp-2026-09-25-15h06m59.jpeg,sujo,sujo
