modelo,algoritmo,cenario,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,precision_macro,precision_macro_std,recall_macro,recall_macro_std,precision_sujo,precision_sujo_std,recall_sujo,recall_sujo_std,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std,fotos_professor,fotos_professor_total,fotos_extras,fotos_extras_total
Árvore de Decisão · formato da cor,Árvore de Decisão,formato da cor,0.902,0.10783585409580353,0.8822619047619048,0.13632408437728122,0.8947976190476191,0.12568150133080375,0.8822619047619048,0.13632408437728122,0.9405952380952383,0.08823656537159262,0.9278571428571428,0.10280074174403461,0.8752566795949148,0.13312674860028095,0.9003883430295195,0.10898721645187211,4,8,6,7
Naive Bayes · formato da cor,Naive Bayes,formato da cor,0.888,0.1002853072844814,0.9017857142857144,0.09594346718924229,0.8742142857142856,0.11167089627112761,0.9017857142857144,0.09594346718924229,0.9714285714285714,0.05824674758348201,0.8735714285714284,0.11969914041007335,0.872746336996337,0.11353371974472938,0.8923912087912087,0.09471560651430258,7,8,5,7
SVM RBF · formato da cor,SVM RBF,formato da cor,0.8899999999999999,0.0762648446573665,0.8497619047619047,0.10726466998330715,0.8915555555555557,0.10131077949399149,0.8497619047619047,0.10726466998330715,0.9144444444444443,0.07234017678288275,0.9428571428571427,0.08210957622158715,0.853860751993105,0.10147504855803181,0.8866211592329237,0.0777379724785693,7,8,5,7
Random Forest · formato da cor,Random Forest,formato da cor,0.8759999999999999,0.10012237410248705,0.8566071428571429,0.1169251545582733,0.8656230158730159,0.12201906431630935,0.8566071428571429,0.1169251545582733,0.9275793650793651,0.0773131758198558,0.9032142857142857,0.11277068412048075,0.8474598097980451,0.11823542018873148,0.8761965348377113,0.0988206176390462,6,8,6,7
MLP (rede neural) · formato da cor,MLP (rede neural),formato da cor,0.8560000000000001,0.11277573917708889,0.8502976190476191,0.13074273405248957,0.8458809523809525,0.14107844514107776,0.8502976190476191,0.13074273405248957,0.942095238095238,0.08892015074543605,0.8639285714285714,0.14398651612676225,0.8243944046149929,0.14014857287759527,0.8548485573250278,0.11539405515606949,4,8,4,7
Regressão Logística · formato da cor,Regressão Logística,formato da cor,0.846,0.10538558938004566,0.7858333333333333,0.14347327249492686,0.8351825396825396,0.16515405683134848,0.7858333333333333,0.14347327249492686,0.8766984126984128,0.09264485297666991,0.925,0.09860279637799842,0.7873756194785606,0.14841356571332706,0.8353638224520575,0.11701489123817173,4,8,5,7
KNN (k=5) · formato da cor,KNN (k=5),formato da cor,0.812,0.11183077594731959,0.799345238095238,0.12636507909295994,0.7949761904761905,0.13715725110315963,0.799345238095238,0.12636507909295994,0.9095714285714286,0.09286765090233928,0.8353571428571428,0.1454882522010962,0.7725685246126424,0.1334239343046343,0.8121743246949129,0.10954614081772145,6,8,3,7
SVM Linear · formato da cor,SVM Linear,formato da cor,0.8220000000000001,0.09957050624700929,0.7772619047619047,0.13123969056381687,0.7912222222222222,0.15101056892219028,0.7772619047619047,0.13123969056381687,0.8821111111111111,0.085839751782618,0.8778571428571429,0.11318943956698307,0.7676570961718021,0.13444850434311054,0.8166090569561156,0.1033991955468626,6,8,4,7
Naive Bayes · histograma bruto,Naive Bayes,histograma bruto,0.82,0.10301575072754256,0.7744047619047619,0.13945189350808218,0.7909523809523807,0.15792088503795387,0.7744047619047619,0.13945189350808218,0.8855714285714285,0.08887774410674544,0.8721428571428571,0.11769911660308326,0.7645763435910495,0.14198923957535378,0.8153862856098151,0.1058705624838764,5,8,5,7
SVM RBF · histograma bruto,SVM RBF,histograma bruto,0.8200000000000002,0.11248582677159732,0.7608333333333333,0.14113438274980727,0.7921269841269841,0.18239946534324675,0.7608333333333333,0.14113438274980727,0.8696825396825397,0.08985977853600982,0.895,0.13583506977492232,0.7554555771026361,0.1563305863360301,0.8095868203691734,0.12118587453205903,5,8,5,7
Regressão Logística · histograma bruto,Regressão Logística,histograma bruto,0.8080000000000002,0.10466662333722404,0.7646428571428572,0.13178467069728833,0.7823769841269841,0.1515493574323544,0.7646428571428572,0.13178467069728833,0.882515873015873,0.08734355714368204,0.8592857142857142,0.13214384208915098,0.7530808733749911,0.13688597435158228,0.8045618149824033,0.10568269983105168,5,8,5,7
Random Forest · histograma bruto,Random Forest,histograma bruto,0.8059999999999999,0.09775020225460573,0.7584523809523809,0.11949375829731146,0.7819642857142857,0.14313558987474134,0.7584523809523809,0.11949375829731146,0.8749285714285715,0.08496348889502907,0.8635714285714287,0.13190329715395024,0.7485523104346634,0.12497018389714014,0.8001020394638041,0.10022971758674623,5,8,5,7
MLP (rede neural) · histograma bruto,MLP (rede neural),histograma bruto,0.7959999999999999,0.11421426337889537,0.7467261904761904,0.14129246429553022,0.7618968253968252,0.17084289162084373,0.7467261904761904,0.14129246429553022,0.8698888888888889,0.09220610470422066,0.8567857142857142,0.13843793350356093,0.7353170832435539,0.15100556560641254,0.7907401278460102,0.11707744394548264,5,8,5,7
KNN (k=5) · histograma bruto,KNN (k=5),histograma bruto,0.7580000000000001,0.12303973142933987,0.7175595238095238,0.1455265286827975,0.717718253968254,0.17384189274890985,0.7175595238095238,0.1455265286827975,0.8592698412698412,0.10354034126672779,0.8117857142857143,0.16078351278714265,0.694466324525148,0.15589115390415417,0.7517869555281319,0.1294568480000815,5,8,5,7
Árvore de Decisão · histograma bruto,Árvore de Decisão,histograma bruto,0.738,0.09665845613735587,0.6957738095238095,0.13192238642766455,0.6830238095238095,0.1479492092710113,0.6957738095238095,0.13192238642766455,0.8437142857142859,0.09823389139846378,0.7982142857142857,0.13187813291390643,0.6680490375637435,0.1300324194898764,0.731694415715004,0.10080071887424993,5,8,5,7
SVM Linear · histograma bruto,SVM Linear,histograma bruto,0.7280000000000001,0.12295677023628582,0.6705952380952381,0.1629998461927345,0.6520555555555555,0.19170032671777543,0.6705952380952381,0.1629998461927345,0.8312063492063492,0.1028482716422974,0.7978571428571428,0.14929202631486888,0.645460794107853,0.1731808084533644,0.718464759097112,0.13082832720377327,5,8,5,7
